ID	Azimuth (+/- 10¡)	Tilt	Calibration	X	Y	Z	Projection	X2	Y2	Z2	Projection2	Installation	Replacement	Record end
LC1e	180	31	36892	25619.41	966616.725	630.71	NGO1948zoneIV				UTM33w	Dec. 1992		Mar. 2012
LC01	NA	NA	37892	NA	NA	NA	NA				UTM33w	2001		2001
LC2a	170	13	34892	25611.18	966617.813	632.59	NGO1948zoneIV				UTM33w	Dec. 1992		Mar. 1998
LC2b	NA	0	36792	25613.641	966616.125	632.53	NGO1948zoneIV				UTM33w	Dec. 1992		Mar. 1998
LC4	170	125	34792	25604.641	966621.188	631.73	NGO1948zoneIV				UTM33w	Dec. 1992		
LC6	140	12	34992	25604.641	966620.75	630.61	NGO1948zoneIV				UTM33w	Dec. 1992		
LC7	190	13	37992	25616.859	966614.813	630.85	NGO1948zoneIV				UTM33w	Dec. 1992	Nov. 2003	Jun. 2008
LC97_1	250	9	37692	25625.039	966614.477	630.7	NGO1948zoneIV				UTM33w	Nov. 1997	Mar. 2012	Mar. 2012
LC97_2	250	14	38292	25624.724	966614.317	630.6	NGO1948zoneIV				UTM33w	Nov. 1997	Mar. 2012	Mar. 2012
LC12_1	NA	NA	37092	25625.039	966614.477	630.7	NGO1948zoneIV				UTM33w	Mar. 2012		
LC12_2	NA	NA	38092	25624.724	966614.317	630.6	NGO1948zoneIV				UTM33w	Mar. 2012		
